Timestamp,Host,Status,LatencyMs
2026-08-28 21:46:13,192.168.12.127,UP,2
2026-08-28 21:46:13,192.168.12.127,UP,97
2026-08-28 21:46:14,192.168.12.127,UP,7
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,6
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,87
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,7
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,9
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,93
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,7
2026-08-28 21:46:14,192.168.12.127,UP,84
2026-08-28 21:46:14,192.168.12.127,UP,11
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,7
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,5
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,2
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,3
2026-08-28 21:46:14,192.168.12.127,UP,4
2026-08-28 21:46:14,192.168.12.127,UP,94
2026-08-28 21:46:49,8.8.8.8,UP,79
2026-08-28 21:46:49,1.1.1.1,UP,53
2026-08-28 21:46:49,192.168.1.1,DOWN,
2026-08-28 21:46:51,google.com,UP,149
2026-08-28 21:47:56,8.8.8.8,UP,71
2026-08-28 21:47:56,1.1.1.1,UP,112
2026-08-28 21:47:56,192.168.1.1,DOWN,
2026-08-28 21:47:58,google.com,UP,136
2026-08-28 21:48:47,8.8.8.8,UP,43
2026-08-28 21:48:47,1.1.1.1,UP,135
2026-08-28 21:48:47,192.168.1.1,DOWN,
2026-08-28 21:48:49,google.com,UP,140
2026-08-28 21:48:49,192.168.12.127,UP,4
2026-08-28 21:49:47,8.8.8.8,UP,90
2026-08-28 21:49:49,192.168.12.127,UP,6
2026-08-28 21:50:47,8.8.8.8,UP,93
2026-08-28 21:50:47,1.1.1.1,UP,62
2026-08-28 21:50:49,192.168.1.1,DOWN,
2026-08-28 21:50:51,google.com,UP,75
2026-08-28 21:50:51,192.168.12.127,UP,3
2026-08-28 21:51:47,8.8.8.8,UP,37
2026-08-28 21:51:51,192.168.12.127,UP,8
2026-08-28 21:52:03,8.8.8.8,UP,52
2026-08-28 21:52:04,1.1.1.1,UP,46
2026-08-28 21:52:04,google.com,UP,154
2026-08-28 21:52:04,192.168.12.127,UP,8
2026-08-28 22:01:50,8.8.8.8,UP,41
2026-08-28 22:01:50,1.1.1.1,UP,51
2026-08-28 22:01:50,192.168.1.1,DOWN,
